customer_id,signup_date,company_size,plan_type,avg_monthly_logins,emails_sent,leads_managed,support_tickets,satisfaction_score,last_login_days_ago,cancelled
11355e5f,2020-08-01,Média,Basic,8.887512450548153,106,50,0,3.288774512816058,9,0
38f60f3f,2022-08-14,Pequena,Free,11.296619325686368,114,55,2,3.2806710130259598,18,0
b757c4a0,2020-04-10,Grande,Free,15.576688681684434,86,57,1,1.7937408979545746,0,1
2ece9751,2022-06-30,Grande,Pro,13.107783015417509,99,53,1,2.4917103286093396,55,0
6bf95ce2,2024-03-14,Pequena,Basic,5.796647449485792,98,36,1,2.8412806257934857,42,0
02e5105e,2021-02-06,Pequena,Pro,15.417267411951563,88,54,0,3.989199832487095,26,0
0e78ed20,2023-02-01,Pequena,Free,2.9578897879759367,103,50,3,4.466697228554115,47,0
aceee93c,2023-09-14,Pequena,Pro,13.943602157539015,110,60,2,2.8738007361736027,47,0
c7f6d2dd,2022-10-27,Média,Pro,11.044888734265577,110,39,1,3.099288043464834,2,0
d0ee7634,2020-08-08,Pequena,Free,14.96235334196941,107,53,1,3.9532294751619537,80,0
57014e0f,2022-12-09,Pequena,Pro,10.335446616250863,105,56,1,4.882420713495267,20,0
7088a273,2024-06-21,Grande,Basic,9.059925899473054,86,39,0,3.0940190322413677,61,0
3978f35d,2022-10-23,Pequena,Pro,9.28354837171544,93,51,4,3.0821202781411587,44,0
7c037d01,2023-01-06,Pequena,Free,15.530666327268595,119,45,5,1.169056798358762,46,1
8fc0b6a8,2024-05-18,Média,Pro,22.25718109203365,78,40,0,3.2446005905419795,70,0
7369c614,2021-02-07,Grande,Pro,0.0,98,54,0,1.8884896018189004,51,0
b769b5b7,2021-02-21,Média,Basic,11.886615106629204,94,58,1,3.3477598882140116,49,1
b9bce43a,2024-01-08,Pequena,Pro,13.290766156503473,89,57,1,4.794489417975458,62,1
572f2c05,2023-02-14,Média,Free,11.910877587514467,96,48,1,2.9507627725908985,23,0
53f31961,2022-06-04,Pequena,Pro,0.0,110,60,0,4.462475516858706,8,0
aa2952ae,2023-06-16,Grande,Basic,1.561044052668139,108,50,1,3.781755038462065,53,0
b59cf57a,2023-06-04,Média,Free,17.335413382872332,97,41,2,2.819506795027973,0,1
4bc57f7e,2021-09-14,Média,Free,20.319601186507974,126,43,2,3.0860558907648,41,1
9a08a5e7,2024-12-18,Pequena,Pro,16.555392904338063,96,43,1,4.222005567100003,61,0
2c4e3fcd,2020-08-30,Pequena,Free,10.20387794977149,116,47,5,2.763318090739612,52,0
ecc6ec97,2022-04-12,Grande,Pro,10.409615569143153,85,43,0,3.6416881731811155,46,1
